Time,  Voltage,  COI Power,  Frequency
59,528.561401,4184.619141,59.951111
59.05,528.640747,4203.186035,59.950867
59.1,528.005981,4223.144531,59.950378
59.15,528.482056,4212.689209,59.955627
59.2,528.640747,4218.438721,59.95166
59.25,528.521729,4223.638916,59.95636
59.3,526.934814,4233.068848,59.951172
59.35,527.648926,4232.226563,59.953369
59.4,527.212524,4242.810059,59.948853
59.45,527.609253,4257.824707,59.950562
59.5,526.577759,4261.907959,59.950439
59.55,526.617432,4240.264893,59.950745
59.6,526.538086,4250.299072,59.948486
59.65,527.331543,4256.231689,59.951721
59.7,526.934814,4254.290771,59.952393
59.75,526.617432,4265.753174,59.953735
59.8,527.172852,4258.081055,59.948181
59.85,527.053833,4262.384033,59.947571
59.9,526.815796,4269.396973,59.947083
59.95,526.855469,4268.865967,59.953674
60,526.498413,4262.878418,59.951965
60.05,526.260376,4268.64624,59.951233
60.1,525.982666,4266.375732,59.958801
60.15,526.538086,4276.409912,59.956665
60.2,527.212524,4273.114014,59.957336
60.25,526.776123,4268.865967,59.953552
60.3,527.450562,4267.382813,59.958008
60.35,527.212524,4263.317871,59.958496
60.4,527.688599,4265.899658,59.955505
60.45,528.085327,4263.812256,59.94989
60.5,528.125,4266.412354,59.947693
60.55,527.688599,4266.760254,59.947449
60.6,528.521729,4259.051514,59.950073
60.65,529.79126,4258.740234,59.945435
60.7,529.473877,4253.540039,59.944153
60.75,529.751587,4248.010254,59.942322
60.8,530.029297,4243.19458,59.947571
60.85,530.029297,4247.058105,59.944641
60.9,531.338501,4237.756348,59.949341
60.95,531.655884,4231.768799,59.941223
61,530.703735,4218.292236,59.93927
61.05,531.021118,4220.159912,59.936218
61.1,531.219482,4220.782471,59.938049
61.15,532.290649,4222.320557,59.933472
61.2,532.766724,4197.491455,59.933044
61.25,532.766724,4207.196045,59.932251
61.3,532.250977,4182.275391,59.927917
61.35,534.472656,4194.98291,59.930115
61.4,533.837891,4182.568359,59.927368
61.45,534.036255,4172.918701,59.930847
61.5,535.345459,4157.922363,59.933228
61.55,535.067749,4170.172119,59.93158
61.6,534.829712,4147.302246,59.935425
61.65,534.909058,4151.422119,59.929382
61.7,535.861206,4121.795654,59.932312
61.75,535.107422,4131.903076,59.92688
61.8,536.376953,4129.833984,59.92804
61.85,536.8927,4121.118164,59.929504
61.9,536.099243,4119.488525,59.929016
61.95,535.22644,4100.317383,59.931274
62,536.694336,4109.344482,59.939026
62.05,536.138916,4105.24292,59.935669
62.1,536.8927,4104.089355,59.939209
62.15,536.376953,4084.716797,59.93811
62.2,535.543823,4092.150879,59.944458
62.25,536.178589,4101.2146,59.942871
62.3,535.980225,4096.691895,59.952271
62.35,534.631348,4080.212402,59.947815
62.4,535.78186,4093.103027,59.952393
62.45,534.829712,4112.475586,59.954651
62.5,535.821533,4095.410156,59.95697
62.55,534.750366,4106.066895,59.956055
62.6,534.313965,4092.297363,59.958496
62.65,533.917236,4114.178467,59.955566
62.7,532.369995,4106.5979,59.956604
62.75,532.965088,4124.066162,59.961853
62.8,532.727051,4104.638672,59.961853
62.85,531.854248,4133.917236,59.965942
62.9,531.219482,4136.022949,59.961487
62.95,530.584717,4156.054688,59.965393
63,530.664063,4146.917725,59.960632
63.05,530.62439,4162.573242,59.95874
63.1,530.743408,4157.8125,59.960327
63.15,530.029297,4189.544678,59.961487
63.2,528.640747,4178.961182,59.967285
63.25,528.68042,4199.761963,59.965515
63.3,527.648926,4191.28418,59.96344
63.35,528.204346,4205.566406,59.964172
63.4,526.577759,4204.779053,59.962036
63.45,525.982666,4226.257324,59.96283
63.5,526.141357,4224.206543,59.960815
63.55,526.855469,4240.740967,59.961609
63.6,524.832153,4256.304932,59.96167
63.65,525.149536,4245.556641,59.957275
63.7,524.554443,4260.662842,59.958557
63.75,523.919678,4251.654053,59.955017
63.8,524.197388,4274.121094,59.955688
63.85,524.078369,4280.218506,59.948975
63.9,524.395752,4275.769043,59.947937
63.95,523.641968,4292.321777,59.948975
64,523.483276,4296.313477,59.951111
64.05,523.284912,4299.44458,59.952209
64.1,523.483276,4297.320557,59.952515
64.15,522.848511,4308.453369,59.949219
64.2,522.253418,4302.923584,59.943298
64.25,523.562622,4296.734619,59.944702
64.3,523.721313,4314.422607,59.94696
64.35,523.840332,4308.251953,59.945923
64.4,524.356079,4321.19751,59.948303
64.45,523.403931,4313.763428,59.942505
64.5,523.641968,4318.835449,59.946228
64.55,524.633789,4311.82251,59.942322
64.6,523.959351,4303.582764,59.945496
64.65,523.562622,4308.251953,59.935974
64.7,525.07019,4298.657227,59.940369
64.75,526.577759,4300.891113,59.937256
64.8,526.45874,4305.81665,59.941284
64.85,525.863647,4294.647217,59.945068
64.9,527.331543,4296.954346,59.946838
64.95,528.442383,4283.056641,59.944519
65,527.807617,4284.521484,59.943909
65.05,528.839111,4265.771484,59.942505
65.1,529.116821,4264.105225,59.946045
65.15,528.640747,4258.24585,59.940063
65.2,530.227661,4258.959961,59.940063
65.25,530.703735,4251.5625,59.936584
65.3,530.426025,4238.049316,59.930786
65.35,533.123779,4235.632324,59.937134
65.4,532.052612,4215.600586,59.931885
65.45,533.084106,4220.526123,59.934875
65.5,533.004761,4218.07251,59.935669
65.55,533.758545,4207.543945,59.937439
65.6,534.393311,4183.410645,59.93927
65.65,534.313965,4186.376953,59.935486
65.7,534.829712,4174.859619,59.939148
65.75,534.710693,4177.679443,59.931396
65.8,535.583496,4161.950684,59.936096
65.85,534.750366,4149.298096,59.930847
65.9,535.662842,4152.429199,59.932495
65.95,536.218262,4148.345947,59.933044
66,537.368774,4144.665527,59.927002
66.05,537.249756,4128.186035,59.929016
66.1,538.043213,4127.838135,59.933411
66.15,537.884521,4122.344971,59.927185
66.2,537.646484,4116.485596,59.927734
66.25,538.519287,4106.524658,59.927734
66.3,538.400269,4101.251221,59.929565
66.35,537.011719,4099.346924,59.934692
66.4,537.44812,4091.473389,59.934082
66.45,537.884521,4090.447998,59.939819
66.5,536.654663,4091.033936,59.93866
66.55,536.61499,4091.418457,59.936523
66.6,537.487793,4080.029297,59.936584
66.65,536.575317,4086.639404,59.938477
66.7,536.257935,4083.782959,59.935303
66.75,536.257935,4094.366455,59.939758
66.8,535.900879,4088.763428,59.945251
66.85,535.940552,4084.350586,59.94519
66.9,536.019897,4081.14624,59.950989
66.95,535.107422,4092.645264,59.952576
67,534.94873,4096.234131,59.955444
67.05,532.846069,4093.212891,59.955627
67.1,533.758545,4105.462646,59.961548
67.15,533.004761,4104.675293,59.960571
67.2,532.608032,4124.945068,59.964844
67.25,531.060791,4120.64209,59.969971
67.3,531.298828,4145.507813,59.968445
67.35,530.822754,4125.695801,59.970032
67.4,530.426025,4156.402588,59.967712
67.45,529.156494,4156.347656,59.969116
67.5,530.06897,4183.721924,59.974304
67.55,529.315186,4179.821777,59.9646
67.6,527.807617,4186.468506,59.96991
67.65,525.109863,4198.205566,59.976013
67.7,526.498413,4208.166504,59.970093
67.75,526.379395,4219.061279,59.974854
67.8,524.395752,4228.125,59.974182
67.85,523.245239,4233.251953,59.971497
67.9,523.245239,4242.736816,59.976318
67.95,522.967529,4257.531738,59.973328
68,523.046875,4272.216797,59.969788
68.05,521.102905,4265.9729,59.979492
68.1,521.142578,4285.748291,59.972595
68.15,520.269775,4293.237305,59.970825
68.2,520.031738,4307.611084,59.976501
68.25,518.603516,4315.576172,59.969421
68.3,518.960571,4322.698975,59.968811
68.35,518.24646,4327.130127,59.96991
68.4,518.52417,4336.633301,59.96521
68.45,518.325806,4349.359131,59.968018
68.5,517.611694,4338.647461,59.963257
68.55,517.453003,4350.787354,59.961121
68.6,518.365479,4352.508545,59.963501
68.65,519.07959,4344.268799,59.956665
68.7,517.453003,4358.953857,59.958435
68.75,517.214966,4355.236816,59.954651
68.8,518.405151,4354.962158,59.956238
68.85,517.572021,4368.731689,59.958008
68.9,517.889404,4372.320557,59.951965
68.95,519.238281,4359.777832,59.952393
69,519.436646,4370.013428,59.949219
69.05,519.833374,4366.369629,59.951843
69.1,519.039917,4371.221924,59.946228
69.15,519.873047,4366.223145,59.950867
69.2,519.992065,4355.877686,59.940491
69.25,520.944214,4364.044189,59.947205
69.3,523.046875,4339.434814,59.941528
69.35,522.372437,4339.691162,59.948669
69.4,522.253418,4334.802246,59.940002
69.45,524.356079,4329.602051,59.937805
69.5,524.911499,4319.622803,59.937988
69.55,525.3479,4310.668945,59.937683
69.6,526.45874,4309.533691,59.939392
69.65,526.419067,4295.654297,59.939636
69.7,528.68042,4288.439941,59.941711
69.75,528.95813,4272.509766,59.934753
69.8,528.878784,4273.718262,59.940125
69.85,530.267334,4254.107666,59.938293
69.9,530.822754,4240.759277,59.941528
69.95,532.131958,4249.182129,59.93927
70,533.242798,4222.247314,59.937927
70.05,532.925415,4206.555176,59.934387
70.1,533.877563,4184.692383,59.92926
70.15,534.869385,4198.754883,59.93634
70.2,535.861206,4165.722656,59.933044
70.25,535.980225,4157.519531,59.933838
70.3,537.487793,4131.555176,59.935974
70.35,537.368774,4138.458252,59.93634
70.4,537.289429,4123.864746,59.943054
70.45,537.844849,4109.051514,59.940735
70.5,538.00354,4100.22583,59.946655
70.55,536.8927,4090.429688,59.943054
70.6,538.955688,4096.19751,59.945618
70.65,538.360596,4071.826172,59.944031
70.7,536.734009,4082.354736,59.947815
70.75,538.995361,4071.77124,59.945801
70.8,539.193726,4077.612305,59.947449
70.85,538.400269,4051.409912,59.945313
70.9,538.00354,4051.080322,59.949585
70.95,537.249756,4067.999268,59.942566
71,537.686157,4046.97876,59.947632
71.05,536.297607,4055.163574,59.949524
71.1,536.416626,4049.743652,59.957092
71.15,536.773682,4070.068359,59.952942
71.2,535.742188,4062.963867,59.960999
71.25,535.385132,4058.551025,59.95752
71.3,534.750366,4067.633057,59.964111
71.35,534.472656,4078.363037,59.960205
71.4,533.480835,4085.961914,59.960754
71.45,532.528687,4072.961426,59.961426
71.5,532.885742,4103.448486,59.960876
71.55,532.012939,4104.144287,59.963684
71.6,530.386353,4099.621582,59.966187
71.65,524.832153,4068.07251,59.972717
71.7,525.228882,4136.901855,59.982727
71.75,526.776123,4138.879395,59.981445
71.8,524.911499,4151.513672,59.976563
71.85,525.07019,4166.986084,59.987915
71.9,524.633789,4189.63623,59.990112
71.95,522.570801,4214.73999,59.988525
72,523.007202,4208.056641,59.994812
72.05,522.967529,4236.035156,59.995972
72.1,522.412109,4243.835449,59.991577
72.15,521.539307,4249.639893,59.987122
72.2,520.269775,4252.56958,59.989014
72.25,519.793701,4272.711182,59.987183
72.3,519.754028,4289.593506,59.985291
72.35,518.286133,4308.1604,59.98175
72.4,517.889404,4326.635742,59.981506
72.45,516.104126,4336.907959,59.984863
72.5,516.461182,4338.95874,59.980957
72.55,515.628052,4367.76123,59.982666
72.6,515.74707,4377.612305,59.983704
72.65,515.19165,4370.343018,59.974915
72.7,513.803101,4389.51416,59.972351
72.75,513.327026,4386.108398,59.977234
72.8,513.208008,4386.987305,59.979187
72.85,513.565063,4390.686035,59.977417
72.9,512.573242,4395.153809,59.978271
72.95,511.660767,4399.310303,59.973572
73,513.128662,4414.031982,59.971008
73.05,512.414551,4418.31665,59.974976
73.1,511.383057,4421.173096,59.971924
73.15,512.097168,4426.885986,59.971008
73.2,512.216187,4421.063232,59.971191
73.25,512.573242,4422.674561,59.965271
73.3,512.454224,4429.669189,59.961853
73.35,511.898804,4424.615479,59.960815
73.4,512.533569,4414.61792,59.958313
73.45,513.088989,4414.489746,59.956482
73.5,514.120483,4408.300781,59.950317
73.55,514.675903,4402.954102,59.952515
73.6,515.74707,4402.386475,59.94812
73.65,513.961792,4410.699463,59.94873
73.7,515.985107,4399.768066,59.945862
73.75,518.206787,4410.351563,59.943665
73.8,519.119263,4408.868408,59.936401
73.85,519.396973,4386.877441,59.938293
73.9,520.74585,4386.694336,59.93396
73.95,521.578979,4362.139893,59.936829
74,522.689819,4366.937256,59.929504
