EIGENVALUE REPORT
 
P S A T  2.1.11
 
Author:  Federico Milano, (c) 2002-2019
e-mail:  federico.milano@ucd.ie
website: faraday1.ucd.ie/psat.html
 
File:  C:\Users\Acer\Desktop\final year project\energy function\TEF_Framework\TEF Implementation\d_case9
Date:  07-Feb-2026 18:25:59


STATE MATRIX EIGENVALUES

Eigevalue      Most Associated States      Real part      Imag. Part     Pseudo-Freq.   Frequency      

Eig As # 1     vm_Exc_3                   -1000           0              0              0             
Eig As # 2     vm_Exc_1                   -1000           0              0              0             
Eig As # 3     vm_Exc_3                   -1000           0              0              0             
Eig As # 4     tg_Tg_1                    -14.9946        0              0              0             
Eig As # 5     tg_Tg_2                    -10.7629        0              0              0             
Eig As # 6     delta_Syn_2, omega_Syn_2   -2.6583         9.3753         1.4921         1.5509        
Eig As # 7     delta_Syn_2, omega_Syn_2   -2.6583        -9.3753         1.4921         1.5509        
Eig As # 8     delta_Syn_1, omega_Syn_1   -0.66572        7.5299         1.1984         1.2031        
Eig As # 9     delta_Syn_1, omega_Syn_1   -0.66572       -7.5299         1.1984         1.2031        
Eig As #10     vr1_Exc_2, vf_Exc_2        -4.1032         7.555          1.2024         1.3683        
Eig As #11     vr1_Exc_2, vf_Exc_2        -4.1032        -7.555          1.2024         1.3683        
Eig As #12     vr1_Exc_1, vf_Exc_1        -3.9913         7.5099         1.1952         1.3536        
Eig As #13     vr1_Exc_1, vf_Exc_1        -3.9913        -7.5099         1.1952         1.3536        
Eig As #14     vr1_Exc_3, vf_Exc_3        -3.8479         7.3344         1.1673         1.3182        
Eig As #15     vr1_Exc_3, vf_Exc_3        -3.8479        -7.3344         1.1673         1.3182        
Eig As #16     e1d_Syn_1                  -5.2425         0              0              0             
Eig As #17     e1d_Syn_2                  -3.4044         0              0              0             
Eig As #18     e1q_Syn_3, vr2_Exc_3       -0.25388        1.4482         0.23049        0.23401       
Eig As #19     e1q_Syn_3, vr2_Exc_3       -0.25388       -1.4482         0.23049        0.23401       
Eig As #20     omega_Syn_3                -0.53635        0              0              0             
Eig As #21     e1q_Syn_3, vr2_Exc_3       -0.22944        0.8934         0.14219        0.1468        
Eig As #22     e1q_Syn_3, vr2_Exc_3       -0.22944       -0.8934         0.14219        0.1468        
Eig As #23     e1q_Syn_2, vr2_Exc_1       -0.21034        0.62114        0.09886        0.10437       
Eig As #24     e1q_Syn_2, vr2_Exc_1       -0.21034       -0.62114        0.09886        0.10437       
Eig As #25     delta_Syn_3                 0              0              0              0             
Eig As #26     e1d_Syn_3                  -3.2258         0              0              0             

PARTICIPATION FACTORS (Euclidean norm)

               delta_Syn_1    omega_Syn_1    e1q_Syn_1      e1d_Syn_1      delta_Syn_2    

Eig As # 1     0              0              0              0              0             
Eig As # 2     0              0              0              0              0             
Eig As # 3     0              0              0              0              0             
Eig As # 4     0.00639        0.00639        0.00032        0.00211        0.12541       
Eig As # 5     0.00047        0.00047        4e-05          0              0.0007        
Eig As # 6     0.11146        0.11146        0.00689        0.00661        0.33314       
Eig As # 7     0.11146        0.11146        0.00689        0.00661        0.33314       
Eig As # 8     0.28053        0.28053        0.01411        0.00482        0.09043       
Eig As # 9     0.28053        0.28053        0.01411        0.00482        0.09043       
Eig As #10     0.00114        0.00114        0.01451        0.00377        0.005         
Eig As #11     0.00114        0.00114        0.01451        0.00377        0.005         
Eig As #12     0.00056        0.00056        0.00421        0.002          0.01388       
Eig As #13     0.00056        0.00056        0.00421        0.002          0.01388       
Eig As #14     0.00016        0.00016        0.00309        0.00158        0.00264       
Eig As #15     0.00016        0.00016        0.00309        0.00158        0.00264       
Eig As #16     0.00919        0.00919        0.00658        0.45296        0.01508       
Eig As #17     0.00102        0.00102        0.00092        0.44579        0.00523       
Eig As #18     0.00093        0.00093        0.15946        0.0104         0.00118       
Eig As #19     0.00093        0.00093        0.15946        0.0104         0.00118       
Eig As #20     0.09578        0.09578        0.00017        0              0.20974       
Eig As #21     0.00088        0.00088        0.18235        0.00903        0.00065       
Eig As #22     0.00088        0.00088        0.18235        0.00903        0.00065       
Eig As #23     0.00136        0.00136        0.13027        0.0078         0.00424       
Eig As #24     0.00136        0.00136        0.13027        0.0078         0.00424       
Eig As #25     0              0              0              0              0.49045       
Eig As #26     0              0              0              0              0             

PARTICIPATION FACTORS (Euclidean norm)

               omega_Syn_2    e1q_Syn_2      e1d_Syn_2      delta_Syn_3    omega_Syn_3    

Eig As # 1     0              0              0              0              0             
Eig As # 2     0              0              0              0              0             
Eig As # 3     0              0              0              0              0             
Eig As # 4     0.22724        0.00253        0.01533        0.0033         0.00411       
Eig As # 5     9e-05          0.00015        0.00086        0.00933        0.06295       
Eig As # 6     0.227          0.01288        0.03961        0.0114         0.011         
Eig As # 7     0.227          0.01288        0.03961        0.0114         0.011         
Eig As # 8     0.05656        0.00291        0.00483        0.11372        0.10782       
Eig As # 9     0.05656        0.00291        0.00483        0.11372        0.10782       
Eig As #10     0.00327        0.00057        0.00253        0.00062        0.00059       
Eig As #11     0.00327        0.00057        0.00253        0.00062        0.00059       
Eig As #12     0.00907        0.0091         0.01045        0.00175        0.00169       
Eig As #13     0.00907        0.0091         0.01045        0.00175        0.00169       
Eig As #14     0.00171        0.00286        0.00153        0.00065        0.00062       
Eig As #15     0.00171        0.00286        0.00153        0.00065        0.00062       
Eig As #16     0.00855        0.01212        0.45164        7e-05          7e-05         
Eig As #17     0.00507        0.00308        0.49467        0.00083        0.00083       
Eig As #18     0.00045        0.09052        0.00578        0.00016        0.00015       
Eig As #19     0.00045        0.09052        0.00578        0.00016        0.00015       
Eig As #20     0.04669        5e-05          0.00027        0.11108        0.36939       
Eig As #21     0.00018        0.0487         0.0044         0.00018        0.00016       
Eig As #22     0.00018        0.0487         0.0044         0.00018        0.00016       
Eig As #23     0.00088        0.32889        0.03323        0.00149        0.00139       
Eig As #24     0.00088        0.32889        0.03323        0.00149        0.00139       
Eig As #25     0              0              0              0.50955        0             
Eig As #26     0              0              0              0              0             

PARTICIPATION FACTORS (Euclidean norm)

               e1q_Syn_3      e1d_Syn_3      vm_Exc_1       vr1_Exc_1      vr2_Exc_1      

Eig As # 1     0              0              0.26752        0              0             
Eig As # 2     0              0              0.60445        0              0             
Eig As # 3     0              0              0.12803        0              0             
Eig As # 4     0              0              0              0.00012        1e-05         
Eig As # 5     0              0              0              2e-05          1e-05         
Eig As # 6     5e-05          0              3e-05          0.00798        0.00154       
Eig As # 7     5e-05          0              3e-05          0.00798        0.00154       
